MouseID,DYRK1A_C,ITSN1_C,BDNF_C,NR2A_C,pAKT_C,pCAMKII_C,pELK_C,pERK_C,pJNK_C,PKCA_C,pMEK_C,pNR1_C,pNR2A_C,pNR2B_C,pPKCAB_C,pRSK_C,AKT_C,BRAF_C,CAMKII_C,ELK_C,ERK_C,GSK3B_C,JNK_C,MEK_C,TRKA_C,RSK_C,CTNNB1_C,SOD1_C,MTOR_C,pMTOR_C,RCAN1_C,AMPKA_C,NR2B_C,pNUMB_C,RAPTOR_C,TIAM1_C,pP70S6_C,NUMB_C,P70S6_C,pPKCG_C,CDK5_C,S6_C,RRP1_C,BAX_C,ARC_C,ERBB4_C,nNOS_C,GAD2_C,GluR4_C,CASP3_C,IL1B_C,P35_25_C,pCASP9_C,PSD95_C,Ubiquitin_C,pGSK3B_Tyr216_C,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,CTNNB1_N,SOD1_N,MTOR_N,pMTOR_N,RCAN1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_S9_N,pPKCG_N,CDK5_N,S6_N,H3AcK9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,GFAP_N,GAD2_N,GluR3_N,GluR4_N,CASP3_N,IL1B_N,P35_25_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,APP_M,DYRK1A_M,ITSN1_M,TIAM1_M,NR1_M,NR2A_M,NR2B_M,pNR1_M,pNR2A_M,pNR2B_M,GluR3_M,GluR4_M,pGluR2_M,BDNF_M,NUMB_M,pNUMB_M,TRKA_M,PSD95_M,SYP_M,SNCA_M,Genotype,Treatment,Behavior,class
3420_3,1.2027,1.1752,0.3187,0.2519,0.3485,1.684,0.7793,2.6448,0.7064,0.1822,0.6096,0.5491,0.4074,1.1623,0.4943,0.2964,0.849,0.2349,0.1512,0.1365,1.5718,1.0439,0.3429,0.4486,0.6759,0.1537,0.0815,0.9513,0.5113,0.588,3.2983,0.4575,0.3714,0.5321,0.205,0.6711,2.177,0.0988,1.5829,0,1.0129,1.548,0.2932,0.4061,0.3438,0.1752,0.243,0.3465,0.1541,0.2819,0.7732,0.1553,1.7193,0.1654,0.3336,3.9483,0.4392,0.6918,0.266,2.0998,1.5677,0.2572,3.8679,0.2324,0.8051,0.3625,1.0857,0.2648,0.4025,2.022,2.5207,1.2943,0.5359,0.3672,0.4854,0.1605,0.2076,0.1778,0.3648,0.552,0.7544,0.2877,0.5674,1.7267,0.2105,0.1875,0.9093,0.661,0.5954,0.7667,0.9996,0.39,0.778,0.3933,0.2678,0.5315,1.2992,0.1133,1.322,0.1547,2.599,0.5557,0.8201,0.6938,0.5435,0.3996,0.3201,0.2482,0.3222,0.1966,0.264,0.5402,0.3716,0.2525,0.6481,0.2875,2.046,3.1776,0.1416,0.8422,1.8582,0.2616,0.4308,1.0931,2.8549,0.5835,1.7183,1.511,0.9172,1.3914,0.5289,1.0569,0.4828,0.6614,0.4317,0.5423,0.4348,0.8827,0.7035,0.5235,1.8948,0.1384,Control,Memantine,S/C,CMS
3420_4,1.1113,1.1169,0.3224,0.2231,0.3877,1.5556,0.8077,2.5653,0.6554,0.1846,0.6393,0.4386,0.326,1.0505,0.5399,0.2586,0.8951,0.2729,0.1594,0.1419,1.6092,1.1072,0.3294,0.416,0.6972,0.1574,0.1235,0.9739,0.4106,0.4848,2.6346,0.4737,0.3022,0.506,0.2217,0.6508,1.7678,0.086,1.5896,0,0.8942,1.4509,0.2733,0.3497,0.2429,0.1432,0.1872,0.2652,0.0931,0.208,0.7006,0.1483,1.3574,0.1751,0.3062,3.668,0.5047,0.8797,0.3292,2.5576,1.567,0.3498,3.9568,0.2731,1.1425,0.462,1.4667,0.2938,0.449,2.123,2.6239,1.3429,0.6292,0.4787,0.5571,0.2015,0.2464,0.2303,0.3428,0.5218,0.8661,0.3349,0.591,1.8013,0.2948,0.2243,0.989,0.6672,0.6612,0.8406,1.4678,0.4723,0.849,0.4471,0.4128,0.5226,1.3649,0.1427,1.4441,0.1687,3.3483,0.6558,0.8283,0.8601,0.8627,0.5009,0.4188,0.3118,0.3466,0.2402,0.3829,0.5709,0.488,0.3367,0.7888,0.3056,1.959,3.6049,0.1822,1.1764,2.2961,0.3247,0.5232,1.4678,3.0403,0.6382,2.006,1.6448,1.2842,1.5172,0.764,1.4088,0.5033,0.7327,0.4636,0.3727,0.5063,0.9675,0.7489,0.5677,1.7213,0.1939,Control,Memantine,S/C,CMS
3420_5,1.1267,1.1194,0.3239,0.2699,0.365,1.6206,0.7945,2.5832,0.6487,0.19,0.6555,0.4488,0.3747,1.1181,0.5169,0.2461,0.9236,0.284,0.1656,0.1662,1.667,1.1342,0.3474,0.4358,0.7383,0.1443,0.0964,1.0347,0.4238,0.5656,2.4672,0.4423,0.3122,0.5421,0.2104,0.6164,1.9838,0.0876,1.5949,0,0.8821,1.4261,0.2705,0.3283,0.2275,0.1502,0.1893,0.275,0.0983,0.2153,0.7451,0.1396,1.3831,0.1698,0.3043,3.4154,0.4908,0.8527,0.3182,2.4199,1.5213,0.3349,3.7803,0.2727,1.1129,0.4436,1.4224,0.2811,0.4387,2.1228,2.6078,1.3059,0.577,0.4551,0.5477,0.1946,0.2374,0.2094,0.3776,0.5145,0.8554,0.3094,0.5905,1.7941,0.2725,0.2138,0.9509,0.6709,0.6666,0.8413,1.4459,0.4378,0.8314,0.4332,0.3935,0.5497,1.3169,0.1398,1.3721,0.1649,3.2612,0.7282,0.7367,0.8309,0.7028,0.4832,0.4158,0.2983,0.3482,0.2296,0.3625,0.5568,0.4696,0.3259,0.7452,0.2925,1.844,3.442,0.177,1.0797,2.2015,0.3022,0.5193,1.3932,3.0761,0.6234,1.9982,1.6954,1.2742,1.4967,0.7383,1.3165,0.5348,0.7698,0.4854,0.586,0.442,0.9958,0.743,0.558,1.7597,0.2011,Control,Memantine,S/C,CMS
3420_6,1.1991,1.1194,0.341,0.2533,0.3751,1.6601,0.7813,2.7106,0.6399,0.1826,0.6696,0.519,0.3517,1.1272,0.4827,0.2467,0.9005,0.2853,0.1544,0.1581,1.6408,1.0886,0.3488,0.4928,0.7377,0.1474,0.0968,1.0081,0.4761,0.5309,2.4363,0.4759,0.3846,0.528,0.2116,0.6725,2.069,0.0918,2.1249,0,0.9488,1.5386,0.2798,0.32,0.2503,0.1319,0.2056,0.2834,0.0953,0.2066,0.7963,0.1477,1.4753,0.169,0.2974,3.6439,0.5062,0.8849,0.3211,2.5711,1.4486,0.3338,3.6542,0.3004,1.1604,0.4547,1.4608,0.2654,0.4159,1.9656,2.4785,1.221,0.5447,0.4472,0.4928,0.1813,0.2261,0.2291,0.363,0.4915,0.8109,0.3054,0.5714,1.6985,0.2841,0.2218,1.007,0.6392,0.6429,0.7969,1.4828,0.4509,0.8028,0.4133,0.3735,0.6602,1.33,0.1417,1.7247,0.1708,3.401,0.6534,0.8033,0.789,0.6067,0.5046,0.4283,0.3046,0.3897,0.2346,0.3545,0.5944,0.4705,0.3281,0.7227,0.2789,1.8078,3.643,0.186,1.1008,2.3343,0.3114,0.4666,1.2698,2.8601,0.5875,1.8445,1.5546,1.2023,1.4158,0.704,1.1728,0.4928,0.6862,0.4409,0.5379,0.4214,0.888,0.6973,0.5201,1.7107,0.1572,Control,Memantine,S/C,CMS
3420_7,1.2172,1.1391,0.2636,0.1789,0.3901,1.2594,0.843,2.7397,0.6616,0.1593,0.5677,0.5386,0.6287,0.8771,0.4551,0.2762,0.7329,0.2209,0.1297,0.1152,1.2567,0.9008,0.2923,0.3971,0.6349,0.1642,0.0894,0.8691,0.4525,0.4954,2.6503,0.4914,0.562,0.4303,0.2093,0.6669,1.9914,0.0861,1.6126,0,0.8828,1.3728,0.294,0.3556,0.2603,0.1404,0.1993,0.2768,0.0775,0.2523,0.8256,0.1303,1.2213,0.1662,0.3079,3.8,0.525,0.9342,0.3452,2.6115,1.5197,0.3714,3.8304,0.3004,1.2165,0.4716,1.6556,0.2976,0.4603,2.1198,2.5665,1.2871,0.6282,0.508,0.625,0.2137,0.2589,0.2461,0.3474,0.4969,0.8522,0.3573,0.6021,1.78,0.2896,0.2191,0.9646,0.68,0.7192,0.8806,1.5754,0.471,0.8927,0.4536,0.417,0.5761,1.4621,0.1436,1.6024,0.1796,3.271,0.6579,0.9096,0.9832,0.7581,0.5274,0.4616,0.319,0.3672,0.2613,0.4128,0.5874,0.5193,0.3644,0.8613,0.3197,2.1476,3.5932,0.1948,1.1216,2.3612,0.3523,0.6697,1.7804,3.378,0.7435,2.254,2.1014,1.4023,1.6069,0.7938,1.6438,0.6161,1.0017,0.5842,0.2523,0.5666,1.0679,0.8474,0.6479,1.4158,0.2791,Control,Memantine,S/C,CMS
3420_8,1.1915,1.148,0.2819,0.2031,0.3786,1.3746,0.8033,2.622,0.6784,0.1693,0.6509,0.6436,0.5721,0.9628,0.4478,0.2434,0.8038,0.2334,0.1492,0.1252,1.3396,0.9637,0.3125,0.5276,0.7042,0.1422,0.0846,0.8956,0.5427,0.5881,2.5112,0.4696,0.5781,0.445,0.2095,0.6509,2.0962,0.0878,1.6797,0,0.9013,1.3831,0.287,0.3312,0.2524,0.1448,0.1819,0.2473,0.0865,0.221,0.9424,0.1395,1.2948,0.1627,0.2678,3.319,0.5202,0.8938,0.3375,2.6023,1.5027,0.3646,3.8214,0.2879,1.2258,0.4641,1.5995,0.2948,0.4607,2.0667,2.6015,1.2755,0.6033,0.4863,0.559,0.2117,0.2586,0.2496,0.3891,0.5017,0.867,0.3251,0.6171,1.7722,0.2925,0.2088,0.9473,0.6786,0.7267,0.909,1.5693,0.4638,0.9067,0.4541,0.4137,0.5891,1.4227,0.1403,1.6517,0.1651,3.263,0.6623,0.8488,0.9036,0.6504,0.5137,0.4672,0.3163,0.3661,0.2475,0.3953,0.586,0.5165,0.3452,0.8423,0.3199,2.095,3.5597,0.199,1.0928,2.3214,0.3357,0.6186,1.5967,3.1005,0.6979,2.0536,2.0219,1.2674,1.4736,0.6934,1.4275,0.5627,0.8565,0.5491,0.568,0.5257,1,0.7923,0.602,1.5,0.1994,Control,Memantine,S/C,CMS
3420_9,1.2689,1.1493,0.2922,0.1909,0.3917,1.2901,0.8313,2.5921,0.6994,0.152,0.5349,0.5903,0.4386,0.9334,0.3798,0.2573,0.7275,0.2347,0.1419,0.1292,1.2465,0.8913,0.2765,0.5265,0.5978,0.1273,0.097,0.8371,0.5326,0.5438,2.5107,0.5158,0.6058,0.4167,0.2269,0.6878,2.0265,0.0924,2.2321,0,0.8959,1.4454,0.2799,0.3445,0.2573,0.1319,0.1881,0.2889,0.1092,0.2069,0.909,0.1318,1.2003,0.1584,0.3077,3.3975,0.5655,0.9042,0.3408,2.4943,1.4728,0.3656,3.726,0.3272,1.2559,0.4614,1.6088,0.2787,0.4432,2.0717,2.546,1.2095,0.5734,0.4572,0.5307,0.2035,0.2454,0.2493,0.3669,0.486,0.8331,0.3378,0.5922,1.7093,0.288,0.2159,0.9821,0.6708,0.6938,0.8555,1.5943,0.4788,0.9313,0.4747,0.4019,0.648,1.4025,0.1412,1.8714,0.1809,3.2794,0.6581,0.8655,0.9453,0.5738,0.5319,0.479,0.3269,0.4169,0.249,0.3899,0.5935,0.5143,0.3376,0.8235,0.3028,1.9823,3.625,0.202,1.0713,2.3616,0.3323,0.5892,1.4237,3.142,0.6758,2.0683,1.9719,1.2377,1.5049,0.6591,1.489,0.5596,0.8557,0.533,0.6105,0.5406,0.9924,0.7661,0.5854,1.6446,0.2255,Control,Memantine,S/C,CMS
3421_1,1.5845,1.6845,0.4107,0.4345,0.4197,0.816,0.9803,2.8239,0.58,0.2044,0.534,0.394,0.2716,1.3551,0.5646,0.298,0.8642,0.2813,0.1481,0.106,1.7726,1.1434,0.2852,0.3666,0.5306,0.222,0.1504,1.0094,0.4039,0.5149,2.707,0.6721,0.2998,0.3147,0.2989,0.8369,1.5699,0.1034,1.9825,0,1.0645,1.6707,0.2392,0.4144,0.2924,0.1504,0.3282,0.435939216,0.1735,0.2682,0.5793,0.1477,1.0257,0.2099,0.3146,4.1746,0.6769,1.1498,0.3395,2.3713,1.3478,0.3126,1.5981,0.268,0.8961,0.4978,0.8649,0.2278,0.3761,1.6537,1.3954,1.1197,0.4537,0.3731,0.5532,0.168,0.1819,0.1955,0.2686,0.5775,0.7477,0.2677,0.529,1.6567,0.3022,0.2454,1.2596,0.9891,0.5283,0.6643,1.0309,0.4803,0.7266,0.3311,0.3853,0.632,1.0098,0.1426,1.4432,0.1717,2.8009,0.7428,1.1519,0.804,0.5246,0.4676,0.3572,0.2714,0.333,0.2072,0.3068,0.5843,0.3713,0.2393,0.6246,0.2729,1.2786,3.4168,0.1647,0.9761,2.2032,0.2902,0.6102,0.744,3.0366,0.6126,1.6664,1.4153,0.8141,1.2735,0.3244,0.751,0.4385,0.5028,0.3435,0.432,0.4128,0.6613,0.545,0.5648,1.5084,0.1462,Ts65Dn,Saline,S/C,TSS
3421_10,1.46,1.4913,0.256,0.4063,0.2928,0.8412,0.7829,2.3432,0.4896,0.2095,0.5525,0.4182,0.2486,1.2193,0.5236,0.245,0.9221,0.2877,0.1717,0.1227,1.6899,1.1442,0.3067,0.371,0.5903,0.1468,0.1126,1.0683,0.423,0.5002,2.7821,0.5328,0.2751,0.3047,0.2061,0.8083,1.8211,0.0842,1.8519,0,0.9166,1.4329,0.2425,0.3165,0.2416,0.1168,0.2412,0.435939216,0.1282,0.2078,0.6455,0.1298,0.9255,0.1498,0.2374,3.4198,0.7747,1.2322,0.3494,2.5808,1.1206,0.3507,1.4918,0.3111,1.1404,0.5655,1.0568,0.2294,0.4427,1.6184,1.3829,1.0293,0.5097,0.4022,0.5883,0.1657,0.2188,0.2484,0.2868,0.4755,0.688,0.3113,0.5762,1.9722,0.296,0.2557,1.1316,0.8063,0.625,0.7273,1.5607,0.48,0.8816,0.3781,0.3546,0.673,1.1905,0.1436,1.3637,0.1851,3.0755,0.7588,1.0038,0.7013,0.624,0.5108,0.4427,0.2773,0.3628,0.2224,0.3842,0.5909,0.4328,0.3098,0.8098,0.2893,1.2649,3.7078,0.1844,1.0048,2.3876,0.327,0.6324,0.8586,3.2555,0.7068,1.8418,1.494,0.8755,1.3323,0.3557,1.0094,0.5184,0.6553,0.4425,0.4425,0.4167,0.685,0.6409,0.5918,1.374,0.1687,Ts65Dn,Saline,S/C,TSS
3421_11,1.5539,1.528,0.2787,0.3882,0.3089,0.8828,0.8076,2.3921,0.4991,0.2191,0.5852,0.4317,0.2789,1.263,0.5219,0.2847,0.9488,0.3018,0.1746,0.1241,1.7096,1.1701,0.3163,0.4065,0.6391,0.1536,0.1316,1.0245,0.4798,0.5327,2.8167,0.5949,0.2834,0.3256,0.2161,0.8507,1.9488,0.0867,1.7899,0,0.9413,1.4288,0.2399,0.3335,0.258,0.1242,0.2468,0.435939216,0.1277,0.1976,0.7147,0.1452,0.979,0.1601,0.2442,3.365,0.7371,1.1638,0.3342,2.2876,1.1395,0.3192,1.4633,0.2985,1.1383,0.5309,1.0087,0.2306,0.4368,1.6293,1.4214,1.0113,0.4639,0.38,0.5635,0.1986,0.221,0.2418,0.2746,0.4673,0.6834,0.308,0.5935,1.7846,0.2881,0.2259,1.0439,0.794,0.6227,0.7401,1.4274,0.4706,0.844,0.3806,0.3393,0.6391,1.1661,0.1393,1.3529,0.1701,3.0733,0.7418,0.9717,0.703,0.5296,0.4729,0.4158,0.2692,0.3417,0.193,0.3691,0.5661,0.4274,0.28,0.8339,0.3077,1.3041,3.634,0.1779,0.8589,2.1926,0.3155,0.6573,0.9408,3.3287,0.7125,1.8716,1.5986,0.8806,1.3302,0.3733,1.0562,0.5178,0.6563,0.4767,0.4476,0.4546,0.7165,0.6573,0.6086,1.4054,0.1746,Ts65Dn,Saline,S/C,TSS
3421_12,1.5245,1.4938,0.2935,0.4069,0.3058,0.887,0.8248,2.4645,0.5091,0.2173,0.5806,0.4899,0.3694,1.3094,0.5233,0.2914,0.9808,0.3411,0.169,0.1353,1.6974,1.1501,0.335,0.4467,0.6242,0.1493,0.1097,1.0138,0.4713,0.557,2.6772,0.5436,0.3812,0.3205,0.205,0.9073,2.0722,0.0915,1.6027,0,0.8903,1.5474,0.2335,0.3411,0.279,0.1148,0.2361,0.435939216,0.111,0.191,0.6844,0.1547,0.9495,0.1548,0.2561,3.3203,0.7547,1.1345,0.3401,2.3403,1.159,0.315,1.4272,0.2911,1.0777,0.546,1.0491,0.2283,0.4414,1.6488,1.4564,1.0055,0.4574,0.369,0.5856,0.2144,0.2265,0.2307,0.2731,0.48,0.6918,0.3034,0.6014,1.7963,0.2785,0.2328,1.0785,0.8075,0.6193,0.7188,1.4047,0.4865,0.8073,0.3822,0.4268,0.6453,1.1598,0.1363,1.3703,0.1692,2.8808,0.7016,0.9491,0.733,0.5498,0.4772,0.4257,0.2681,0.3423,0.1991,0.387,0.5765,0.4219,0.2925,0.865,0.2943,1.2733,3.5086,0.1797,0.9078,2.2932,0.319,0.6408,0.8886,3.2605,0.7036,1.8131,1.5432,0.9092,1.3194,0.3499,1.0265,0.5147,0.6143,0.4627,0.4244,0.4411,0.7179,0.6457,0.5908,1.4038,0.1884,Ts65Dn,Saline,S/C,TSS
3421_13,1.6337,1.6069,0.2971,0.3918,0.3326,0.8819,0.8709,2.4011,0.556,0.2228,0.5572,0.4428,0.2352,1.2462,0.5338,0.2829,1.0253,0.3252,0.1842,0.1355,1.7198,1.2067,0.3174,0.356,0.5967,0.156,0.1269,1.0345,0.4318,0.5475,2.8931,0.5937,0.2673,0.3431,0.2371,0.8177,2.1475,0.0931,1.9206,0,0.9263,1.4771,0.264,0.3326,0.2777,0.1497,0.2703,0.435939216,0.0823,0.2657,0.5503,0.1281,0.8527,0.1594,0.2594,3.3874,0.7345,1.1833,0.3472,2.3484,1.0376,0.3048,1.3596,0.3051,1.0323,0.5039,1.0115,0.2369,0.4808,1.6053,1.4157,0.9384,0.4999,0.3755,0.5833,0.264,0.2423,0.2561,0.2986,0.4441,0.7028,0.3429,0.6302,1.9445,0.2792,0.2285,1.0203,0.8069,0.6778,0.7755,1.6174,0.4733,0.8699,0.401,0.3216,0.6172,1.3057,0.1329,1.2106,0.1753,2.6836,0.7152,0.8179,0.7011,0.5774,0.4808,0.4629,0.265,0.322,0.212,0.3767,0.5576,0.4172,0.2996,0.8073,0.3014,1.233,3.4509,0.1953,0.9383,2.1887,0.3249,0.6649,1.0018,3.2944,0.75,1.9311,1.5498,0.8609,1.3519,0.3747,1.0594,0.5809,0.7086,0.5204,0.4454,0.4299,0.7182,0.7074,0.6007,1.2854,0.2272,Ts65Dn,Saline,S/C,TSS
3421_14,1.6211,1.532,0.2974,0.381,0.3295,0.8832,0.883,2.4232,0.5582,0.2259,0.5564,0.4454,0.2755,1.2574,0.505,0.305,0.9197,0.3075,0.183,0.1339,1.7011,1.1434,0.3359,0.3959,0.5762,0.1554,0.1048,1.0491,0.4414,0.5627,2.8492,0.642,0.2908,0.3314,0.22,0.8475,2.1767,0.0885,1.8591,0,0.9627,1.4796,0.259,0.383,0.2922,0.1432,0.2579,0.435939216,0.1234,0.2503,0.6491,0.137,0.9045,0.1566,0.2829,3.5128,0.7023,1.1564,0.3496,2.2956,1.0552,0.3115,1.3702,0.3096,1.1223,0.5269,0.9781,0.2481,0.508,1.6578,1.495,0.9465,0.4796,0.3789,0.6011,0.2592,0.2515,0.2418,0.3096,0.4583,0.7176,0.3464,0.6819,2.0089,0.2749,0.2161,1.0117,0.8303,0.6994,0.8086,1.6221,0.4346,1.0967,0.4225,0.3463,0.6211,1.3404,0.128,1.298,0.1692,2.7232,0.7054,0.8984,0.7318,0.5278,0.4729,0.4486,0.2658,0.3417,0.2125,0.3974,0.559,0.4467,0.2999,0.8768,0.3038,1.245,3.5352,0.1997,0.9286,2.1692,0.3329,0.6774,1.009,3.3088,0.772,1.9431,1.6206,0.924,1.3842,0.392,1.079,0.5643,0.7307,0.5212,0.447,0.4393,0.7475,0.6984,0.6194,1.3441,0.222,Ts65Dn,Saline,S/C,TSS
3421_15,1.8568,1.5601,0.2869,0.4115,0.341,0.854,0.8827,2.4865,0.5676,0.2296,0.5894,0.519,0.3858,1.3341,0.519,0.2973,1.0279,0.3367,0.1858,0.1451,1.6602,1.1177,0.3588,0.4912,0.7389,0.1725,0.1075,0.9704,0.5053,0.5854,2.8143,0.6072,0.3792,0.354,0.2185,0.8643,2.335,0.0943,1.8476,0,0.9264,1.4848,0.2685,0.3755,0.3053,0.1484,0.2588,0.435939216,0.1294,0.2473,0.6832,0.1421,0.9233,0.1708,0.2927,3.2961,0.7252,1.1119,0.3275,2.2121,1.0782,0.2967,1.3443,0.2874,1.0059,0.4826,0.9496,0.2416,0.4954,1.6494,1.5184,0.9111,0.4552,0.3537,0.7149,0.2496,0.253,0.2463,0.2965,0.4556,0.7403,0.3398,0.6557,2.0724,0.2673,0.2196,0.9751,0.8023,0.7056,0.7869,1.5828,0.431,0.8786,0.4221,0.4708,0.5857,1.2867,0.1232,1.2526,0.1545,2.5649,0.6705,0.8238,0.7083,0.5102,0.4731,0.4426,0.2675,0.3168,0.1988,0.3722,0.5217,0.4152,0.287,0.8476,0.3076,1.2197,3.431,0.1879,0.8844,2.1551,0.3207,0.6683,0.9316,3.214,0.7776,1.8894,1.6677,0.887,1.4037,0.3966,1.1052,0.5702,0.7247,0.5256,0.4507,0.4197,0.7206,0.695,0.6112,1.3526,0.2289,Ts65Dn,Saline,S/C,TSS
3421_2,1.5638,1.6752,0.4042,0.4084,0.4252,0.7945,1.0196,2.9464,0.5837,0.2108,0.5477,0.4062,0.3021,1.4137,0.5522,0.3074,0.8637,0.2884,0.1528,0.1082,1.8174,1.132,0.2852,0.3861,0.5455,0.2146,0.145,1.0323,0.4065,0.5655,2.8797,0.7083,0.3077,0.3122,0.2973,0.8384,1.7189,0.108,1.9683,0,1.0609,1.6749,0.2581,0.4348,0.3035,0.1498,0.3433,0.435939216,0.1619,0.2581,0.606,0.145,1.0569,0.2095,0.3346,4.1313,0.6919,1.1714,0.3582,2.402,1.2966,0.3123,1.481,0.2863,1.0159,0.4903,0.8643,0.2134,0.3594,1.5651,1.3521,1.0302,0.4154,0.3711,0.5188,0.1638,0.1717,0.2055,0.2477,0.5409,0.6597,0.2488,0.5036,1.4841,0.3051,0.2555,1.2629,0.9211,0.5039,0.6372,1.044,0.4759,0.6911,0.3301,0.3497,0.6412,0.9214,0.1474,1.5233,0.1716,2.7669,0.7366,1.2078,0.8486,0.5005,0.4818,0.347,0.2765,0.3409,0.1956,0.3154,0.5988,0.3914,0.2534,0.6555,0.2841,1.3108,3.6519,0.1707,0.9374,2.2403,0.2983,0.6031,0.7938,2.9981,0.5983,1.6392,1.4859,0.8057,1.2505,0.3299,0.7579,0.4261,0.5043,0.3352,0.4201,0.4648,0.6488,0.545,0.5493,1.5909,0.1395,Ts65Dn,Saline,S/C,TSS
3421_3,1.5983,1.6482,0.4106,0.4061,0.4076,0.812,0.9667,2.9531,0.5772,0.2169,0.5637,0.4514,0.3716,1.4726,0.543,0.3147,0.9046,0.3034,0.1432,0.1174,1.7477,1.1056,0.2899,0.4014,0.5263,0.2096,0.1384,0.9178,0.4552,0.5308,2.7524,0.6961,0.3421,0.3229,0.2814,0.808,1.8827,0.1029,1.8472,0,1.068,1.6495,0.2652,0.4236,0.3248,0.1495,0.3313,0.435939216,0.1671,0.2765,0.6321,0.1396,1.0347,0.2077,0.3207,3.9049,0.6913,1.1368,0.3423,2.3347,1.3236,0.3172,1.4027,0.2686,0.9277,0.4824,0.8565,0.2104,0.3562,1.5815,1.3293,1.0756,0.4228,0.3636,0.5324,0.1591,0.1698,0.2004,0.2401,0.527,0.7163,0.2401,0.4931,1.4902,0.3047,0.2537,1.2517,0.9073,0.4951,0.6219,0.99,0.4725,0.6722,0.3121,0.351,0.6343,0.8666,0.1474,1.5591,0.1741,2.6707,0.7528,1.0916,0.7489,0.4858,0.4699,0.3552,0.264,0.3402,0.1903,0.306,0.6012,0.381,0.2547,0.6548,0.2789,1.3335,3.4617,0.1611,0.9494,2.2086,0.2827,0.6262,0.8964,3.1138,0.6363,1.7152,1.5528,0.8376,1.3017,0.3304,0.7828,0.4408,0.5094,0.3542,0.4398,0.4068,0.6728,0.5622,0.5766,1.6376,0.142,Ts65Dn,Saline,S/C,TSS
3421_4,1.5564,1.7141,0.4286,0.3832,0.4701,0.7674,1.0052,2.8795,0.6285,0.2107,0.5489,0.3961,0.2501,1.268,0.5437,0.3618,0.9122,0.2834,0.1565,0.1187,1.7472,1.1418,0.2906,0.3593,0.5429,0.3325,0.1668,1.0612,0.4051,0.5044,2.8416,0.758,0.2717,0.213,0.3499,0.9116,1.6258,0.1111,2.0021,0,1.0696,1.6647,0.2705,0.4589,0.3169,0.1814,0.3513,0.435939216,0.2333,0.3186,0.5682,0.1471,0.9524,0.2152,0.2838,3.962,0.7472,1.2102,0.349,2.439,1.2157,0.3043,1.4888,0.2756,1.0575,0.5202,0.9083,0.2245,0.3906,1.6135,1.3703,1.0868,0.4528,0.3959,0.547,0.1813,0.1907,0.2141,0.2673,0.5182,0.6909,0.2676,0.5259,1.6367,0.2891,0.2513,1.2061,0.8615,0.55,0.6657,1.1858,0.4833,0.7339,0.3355,0.4115,0.6574,1.0281,0.1503,1.4255,0.1686,3.0329,0.7429,1.1647,0.6945,0.5851,0.4736,0.3903,0.2734,0.342,0.2011,0.3356,0.5787,0.4072,0.2695,0.7307,0.2677,1.316,3.7453,0.164,0.9692,2.3226,0.2979,0.6229,0.8094,3.1471,0.6418,1.7523,1.4438,0.7949,1.3368,0.3194,0.8164,0.4425,0.5476,0.3768,0.431,0.3867,0.6963,0.5947,0.5575,1.4845,0.1644,Ts65Dn,Saline,S/C,TSS
3421_5,1.6446,1.8503,0.4581,0.3961,0.4745,0.7746,1.0595,2.7394,0.6588,0.2118,0.5788,0.4106,0.2766,1.2653,0.549,0.3733,0.8416,0.2906,0.1308,0.1111,1.733,1.1099,0.2936,0.3749,0.5241,0.3084,0.1533,0.9655,0.4094,0.5404,2.8988,0.7857,0.2862,0.236,0.3572,0.9209,1.7552,0.1251,1.9594,0,1.148,1.6838,0.2934,0.467,0.3576,0.1954,0.3711,0.435939216,0.2446,0.3205,0.5761,0.1444,0.9733,0.2214,0.3027,4.0392,0.7463,1.1936,0.3588,2.4355,1.1988,0.3065,1.4058,0.2988,1.1414,0.5296,0.937,0.2119,0.3678,1.5768,1.3663,1.0211,0.4161,0.3918,0.5323,0.1751,0.1846,0.2195,0.2496,0.5035,0.6977,0.2588,0.5246,1.5594,0.2961,0.2361,1.2244,0.8454,0.5279,0.6558,1.2136,0.5173,0.7232,0.3242,0.3463,0.6759,0.9622,0.1527,1.5232,0.1734,3.0401,0.7504,1.1124,0.7556,0.5455,0.4656,0.3891,0.2825,0.3448,0.1904,0.3457,0.5815,0.4079,0.2747,0.7312,0.2864,1.357,3.7346,0.1747,0.9518,2.3266,0.3046,0.6211,0.8649,3.1113,0.6398,1.7089,1.4994,0.8142,1.2876,0.3405,0.851,0.4442,0.5409,0.3932,0.4217,0.4528,0.6833,0.585,0.5602,1.5162,0.1693,Ts65Dn,Saline,S/C,TSS
